Date,Open,High,Low,Close,Adj Close,Volume
2020-05-06,1663.540039,1671.810059,1647.849976,1647.920044,1647.920044,0
2020-05-07,1652.060059,1680.739990,1652.060059,1669.089966,1669.089966,0
2020-05-08,1674.369995,1701.150024,1674.369995,1700.520020,1700.520020,0
2020-05-11,1693.319946,1708.880005,1684.439941,1700.030029,1700.030029,0
2020-05-12,1701.719971,1708.739990,1662.550049,1662.810059,1662.810059,0
2020-05-13,1662.660034,1663.040039,1614.959961,1630.369995,1630.369995,0
2020-05-14,1628.540039,1648.729980,1596.089966,1648.609985,1648.609985,0
2020-05-15,1646.969971,1657.510010,1628.719971,1656.810059,1656.810059,0
2020-05-18,1685.290039,1720.859985,1685.290039,1713.069946,1713.069946,0
2020-05-19,1711.790039,1720.219971,1694.589966,1694.890015,1694.890015,0
2020-05-20,1705.560059,1730.069946,1705.560059,1724.969971,1724.969971,0
2020-05-21,1723.400024,1729.079956,1706.160034,1713.729980,1713.729980,0
2020-05-22,1713.770020,1719.319946,1705.449951,1718.660034,1718.660034,0
2020-05-26,null,null,null,null,null,null
2020-05-27,1743.949951,1770.160034,1728.630005,1770.160034,1770.160034,0
2020-05-28,1768.910034,1786.989990,1759.439941,1763.219971,1763.219971,0
2020-05-29,1763.699951,1773.849976,1745.810059,1771.369995,1771.369995,0
2020-06-01,1770.579956,1785.180054,1765.420044,1780.520020,1780.520020,0
2020-06-02,1781.660034,1795.459961,1778.209961,1795.250000,1795.250000,0
2020-06-03,1798.050049,1826.510010,1798.050049,1822.180054,1822.180054,0
2020-06-04,1820.599976,1825.410034,1803.140015,1816.089966,1816.089966,0
2020-06-05,1818.719971,1875.920044,1818.719971,1864.219971,1864.219971,0
2020-06-08,1864.050049,1889.829956,1864.050049,1889.670044,1889.670044,0
2020-06-09,1888.390015,1888.390015,1863.329956,1871.670044,1871.670044,0
2020-06-10,1873.400024,1878.540039,1853.319946,1858.540039,1858.540039,0
2020-06-11,1855.410034,1855.410034,1745.530029,1746.699951,1746.699951,0
2020-06-12,1750.479980,1798.920044,1736.640015,1771.060059,1771.060059,0
2020-06-15,null,null,null,null,null,null
2020-06-16,1796.150024,1840.109985,1795.800049,1822.949951,1822.949951,0
2020-06-17,1824.780029,1831.160034,1812.030029,1814.910034,1814.910034,0
2020-06-18,1814.199951,1819.869995,1803.760010,1812.260010,1812.260010,0
2020-06-19,1818.060059,1837.709961,1798.060059,1806.390015,1806.390015,0
2020-06-22,1806.339966,1819.880005,1795.160034,1818.339966,1818.339966,0
2020-06-23,1819.800049,1838.969971,1819.800049,1825.650024,1825.650024,0
2020-06-24,1824.650024,1824.650024,1765.510010,1776.569946,1776.569946,0
2020-06-25,1776.380005,1798.829956,1761.449951,1797.520020,1797.520020,0
2020-06-26,1796.079956,1796.079956,1752.760010,1754.869995,1754.869995,0
2020-06-29,1756.459961,1781.890015,1749.310059,1781.489990,1781.489990,0
2020-06-30,1781.229980,1815.189941,1778.560059,1809.250000,1809.250000,0
2020-07-01,1810.869995,1824.819946,1809.020020,1817.420044,1817.420044,0
2020-07-02,1820.920044,1847.619995,1820.920044,1825.969971,1825.969971,0
2020-07-06,1827.719971,1857.880005,1827.719971,1854.459961,1854.459961,0
2020-07-07,1854.339966,1857.579956,1832.839966,1833.989990,1833.989990,0
2020-07-08,1835.010010,1850.579956,1829.479980,1849.550049,1849.550049,0
2020-07-09,1850.030029,1854.910034,1816.780029,1838.089966,1838.089966,0
2020-07-10,1837.939941,1858.930054,1829.430054,1858.099976,1858.099976,0
2020-07-13,1863.739990,1887.760010,1833.959961,1836.849976,1836.849976,0
2020-07-14,1835.170044,1863.189941,1821.020020,1861.800049,1861.800049,0
2020-07-15,1863.520020,1888.359985,1863.520020,1883.650024,1883.650024,0
